,flesch_reading_ease,smog_index,flesch_kincaid_grade,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,mean_parse_tree_depth,mean_ents_per_sentence,mean_adj,mean_adp,mean_adv,mean_aux,mean_conj,mean_cconj,mean_det,mean_intj,mean_noun,mean_num,mean_part,mean_pron,mean_propn,mean_punct,mean_sconj,mean_sym,mean_verb,mean_x,mean_space,label,label_num
874,83.76,8.6,4.8,5.55,4.9,7.17,31.0,18.666666666666668,6.77,5.0,0.9554317548746518,0.8,0.56,0.68,0.96,1.04,0.0,0.24,1.0,0.2,2.48,1.04,0.36,1.76,0.6,0.08,0.36,0.0,2.04,0.0,0.96,B1,2
875,77.67,9.0,7.1,7.31,8.4,8.3,45.0,10.8,8.56,9.0,1.251948051948052,2.6315789473684212,1.63,2.32,0.89,1.26,0.0,0.58,2.11,0.05,2.74,0.74,0.53,1.63,2.32,0.0,0.26,0.0,2.21,0.0,1.0,B1,2
876,81.22,9.9,5.8,4.86,5.1,6.35,28.0,6.25,8.64,6.0,1.2891566265060241,0.4,0.5,1.3,0.6,1.25,0.0,0.5,1.4,0.0,2.8,0.25,0.8,2.2,0.45,0.0,0.7,0.0,2.9,0.0,0.95,B1,2
877,79.09,9.2,6.6,7.07,7.7,8.71,50.0,9.0,8.62,9.0,1.3148558758314857,3.4583333333333335,1.29,2.04,0.29,0.46,0.0,0.38,1.83,0.04,3.96,2.38,0.58,0.38,2.42,0.0,0.08,0.0,1.67,0.0,1.0,B1,2
878,64.71,10.7,8.0,12.35,11.0,8.02,55.0,8.0,9.61,8.0,1.3695652173913044,0.4,2.15,1.45,0.55,0.6,0.0,0.6,1.0,0.0,4.15,0.1,0.5,1.15,0.35,0.0,0.4,0.05,2.1,0.0,0.95,B1,2
879,79.19,9.5,6.5,8.23,8.7,7.45,86.0,20.0,8.68,9.0,1.2599758162031438,2.159090909090909,0.59,1.64,0.59,0.89,0.0,0.48,1.57,0.0,2.84,0.2,0.75,1.8,2.75,0.0,0.52,0.0,3.14,0.0,1.0,B1,2
880,68.26,9.4,6.6,8.04,6.5,7.48,49.0,4.545454545454546,6.87,7.0,1.1160714285714286,1.0384615384615385,1.23,1.15,0.42,0.69,0.0,0.19,1.19,0.0,2.28,0.12,0.38,1.0,0.85,0.15,0.19,0.0,1.62,0.0,1.0,B1,2
881,83.36,8.2,4.9,5.55,5.1,6.48,85.0,13.75,6.58,6.0,1.1128158844765343,0.5789473684210527,0.82,1.32,0.51,1.07,0.0,0.41,1.05,0.03,2.24,0.14,0.75,2.17,0.7,0.01,0.38,0.0,1.97,0.0,1.0,B1,2
882,69.21,9.7,8.3,8.53,9.5,8.14,47.0,12.0,9.67,10.0,1.3856382978723405,1.2777777777777777,1.39,2.11,1.22,1.33,0.0,0.67,1.39,0.0,2.78,0.22,0.78,2.28,1.5,0.56,0.5,0.0,3.22,0.0,0.94,B1,2
883,93.03,7.6,3.3,8.11,6.4,7.19,31.0,7.0,6.57,7.0,1.149501661129568,0.30434782608695654,0.65,1.17,0.87,0.57,0.0,0.39,1.04,0.0,3.87,0.09,0.39,0.87,0.39,0.0,0.09,0.0,1.74,0.0,0.96,B1,2
